timestamp,datetime,urllc_rtt_ms,urllc_rtt_max_ms,urllc_fails,embb_mbps,embb_rate_mbit,mmtc_msgs,mmtc_rate_per_min,sla_violated,orchestrator_type,orchestrator_state,violation_streak,recovery_streak,action_taken,decision_latency_ms,reasoning,node_cpu_percent,node_memory_percent,traffic_level,orchestrator_label,embb_ue_count,urllc_ue_count,mmtc_ue_count,run_id,sample_index
1780931495.826986,2026-06-08 20:41:35,12.5,17.0,0,352.4,1000,204,102.0,0,rule_based,0,0,1,no_action,0.833,RTT=12.5ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,38.5,73.2,medium,rule_based,3,3,3,rb_medium_20260608_224135,0
1780931497.826986,2026-06-08 20:41:37,15.66,18.7,0,16.8,50,207,103.5,1,rule_based,1,1,0,throttle_embb,0.609,RTT=15.7ms exceeded 15.0ms SLA threshold (streak=1); throttling eMBB to 50Mbit,48.2,79.8,medium,rule_based,3,3,3,rb_medium_20260608_224135,1
1780931499.826986,2026-06-08 20:41:39,18.48,23.2,0,20.3,50,223,111.5,1,rule_based,1,2,0,hold_throttle,0.248,RTT=18.5ms still elevated (streak=2); maintaining throttle at 50Mbit,38.8,68.2,medium,rule_based,3,3,3,rb_medium_20260608_224135,2
1780931501.826986,2026-06-08 20:41:41,13.36,16.9,0,16.8,50,269,134.5,0,rule_based,1,0,1,hold_throttle,0.71,RTT=13.4ms still elevated (streak=0); maintaining throttle at 50Mbit,38.8,72.3,medium,rule_based,3,3,3,rb_medium_20260608_224135,3
1780931503.826986,2026-06-08 20:41:43,13.62,16.4,0,11.1,50,369,184.5,0,rule_based,1,0,2,hold_throttle,0.752,RTT=13.6ms still elevated (streak=0); maintaining throttle at 50Mbit,47.6,81.6,medium,rule_based,3,3,3,rb_medium_20260608_224135,4
1780931505.826986,2026-06-08 20:41:45,12.5,14.2,0,19.4,50,282,141.0,0,rule_based,1,0,3,hold_throttle,0.47,RTT=12.5ms still elevated (streak=0); maintaining throttle at 50Mbit,47.7,67.8,medium,rule_based,3,3,3,rb_medium_20260608_224135,5
1780931507.826986,2026-06-08 20:41:47,14.84,21.2,0,13.2,50,280,140.0,0,rule_based,1,0,4,hold_throttle,0.464,RTT=14.8ms still elevated (streak=0); maintaining throttle at 50Mbit,46.4,65.5,medium,rule_based,3,3,3,rb_medium_20260608_224135,6
1780931509.826986,2026-06-08 20:41:49,12.98,17.1,0,20.5,50,264,132.0,0,rule_based,1,0,5,hold_throttle,0.438,RTT=13.0ms still elevated (streak=0); maintaining throttle at 50Mbit,43.3,78.9,medium,rule_based,3,3,3,rb_medium_20260608_224135,7
1780931511.826986,2026-06-08 20:41:51,12.5,14.9,0,15.2,50,225,112.5,0,rule_based,1,0,6,hold_throttle,0.153,RTT=12.5ms still elevated (streak=0); maintaining throttle at 50Mbit,45.3,64.5,medium,rule_based,3,3,3,rb_medium_20260608_224135,8
1780931513.826986,2026-06-08 20:41:53,21.82,26.2,1,11.6,50,277,138.5,1,rule_based,1,1,0,hold_throttle,0.746,RTT=21.8ms still elevated (streak=1); maintaining throttle at 50Mbit,42.5,70.8,medium,rule_based,3,3,3,rb_medium_20260608_224135,9
